actual_position,player_id
1,30152
3,27822
3,28751
3,30270
5,27403
6,4270
7,18332
8,18036
9,6482
10,22799
11,13782
12,6212
13,34846
14,32901
15,15456
16,23737
17,32458
18,33032
19,38458
20,5990
21,34936
22,23321
"23,5",16837
"23,5",37718
25,33620
26,23178
27,13689
28,31493
29,127
30,156
31,25882
"32,5",120
"32,5",157
34,56000
35,143
36,115
37,27989
38,20691
39,36120
40,19541
41,116713
42,110920
43,30475
"44,5",72160
"44,5",59270
47,214
47,266
47,273
49,20001
50,74382
51,187
"52,5",96
"52,5",199
54,36035
55,31184
56,25177
57,127
58,74
59,24850
60,1585
61,113703
62,26911
63,139
64,136
65,26089
66,2954
67,81
68,162
69,96330
70,63529
71,15217
"72,5",179
"72,5",138
74,41
75,24543
76,21233
"77,5",35
"77,5",87
79,31038
80,25819
81,128
82,161
83,183104
84,18490
"85,5",34395
"85,5",3438
87,116901
88,19666
89,17034
90,26640
91,66764
92,143822
93,10145
94,70750
95,82
96,159
97,18194
98,27240
99,127
100,80
101,36592
102,17296
103,119877
104,14786
105,24006
"107,5",127
"107,5",56
"107,5",72
"107,5",50
110,15727
111,69678
"112,5",199
"112,5",85
114,29531
115,24384
116,23020
117,188
118,120
119,33509
"120,5",3207
"120,5",26818
122,138832
123,192
124,89
125,33119
126,33236
127,56587
128,197
129,103
130,21026
131,15811
132,22935
133,96304
134,115199
135,24341
136,7420
138,88
138,102
138,42
140,86795
141,80897
142,54035
143,77673
144,10580
145,32431
146,21698
147,19468
148,26988
149,128239
150,15051
